Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2017","2017","Kcal/personne/jour","1809","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2017","2017","g/personne/jour","43.54","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","191","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","10.55","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2017","2017","Kcal/personne/jour","2538","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2017","2017","g/personne/jour","48.85","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","456","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","34.56","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2017","2017","Kcal/personne/jour","2305","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2017","2017","g/personne/jour","53.21","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","1094","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","66.34","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2017","2017","Kcal/personne/jour","2945","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2017","2017","g/personne/jour","67.21","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","404","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","25.71","Fc","Donnée calculée"
